leg_idx,registration,orig_registration,assigned_registration,tail_swap,is_ground_activity,ident,aircraft_type,body_type,origin,destination,orig_scheduled_out,orig_scheduled_in,shift_min,new_scheduled_out,new_scheduled_in
80,A6-ECH,A6-ECH,A6-ECH,False,False,UAE564,B77W,WB,DXB,BLR,2026-07-06T23:20:00+00:00,2026-07-07T03:20:00+00:00,0,2026-07-06T23:20:00+00:00,2026-07-07T03:20:00+00:00
81,A6-ECH,A6-ECH,A6-ECH,False,False,UAE565,B77W,WB,BLR,DXB,2026-07-07T05:00:00+00:00,2026-07-07T08:45:00+00:00,0,2026-07-07T05:00:00+00:00,2026-07-07T08:45:00+00:00
82,A6-ECH,A6-ECH,A6-ECH,False,False,UAE314,B77W,WB,DXB,SIN,2026-07-07T17:00:00+00:00,2026-07-08T00:35:00+00:00,0,2026-07-07T17:00:00+00:00,2026-07-08T00:35:00+00:00
83,A6-ECH,A6-ECH,A6-ECH,False,False,UAE315,B77W,WB,SIN,DXB,2026-07-08T02:35:00+00:00,2026-07-08T09:45:00+00:00,0,2026-07-08T02:35:00+00:00,2026-07-08T09:45:00+00:00
84,A6-ECH,A6-ECH,A6-ECH,False,False,UAE508,B77W,WB,DXB,BOM,2026-07-08T12:00:00+00:00,2026-07-08T15:15:00+00:00,0,2026-07-08T12:00:00+00:00,2026-07-08T15:15:00+00:00
85,A6-ECH,A6-ECH,A6-ECH,False,False,UAE509,B77W,WB,BOM,DXB,2026-07-08T16:55:00+00:00,2026-07-08T19:59:00+00:00,0,2026-07-08T16:55:00+00:00,2026-07-08T19:59:00+00:00
86,A6-ECH,A6-ECH,A6-ECH,False,False,UAE231,B77W,WB,DXB,IAD,2026-07-08T22:00:00+00:00,2026-07-09T12:40:00+00:00,0,2026-07-08T22:00:00+00:00,2026-07-09T12:40:00+00:00
87,A6-ECH,A6-ECH,A6-ECH,False,False,UAE232,B77W,WB,IAD,DXB,2026-07-09T14:55:00+00:00,2026-07-10T04:15:00+00:00,0,2026-07-09T14:55:00+00:00,2026-07-10T04:15:00+00:00
88,A6-ECH,A6-ECH,A6-ECH,False,False,UAE308,B77W,WB,DXB,PEK,2026-07-10T06:40:00+00:00,2026-07-10T14:20:00+00:00,0,2026-07-10T06:40:00+00:00,2026-07-10T14:20:00+00:00
89,A6-ECH,A6-ECH,A6-ECH,False,False,UAE309,B77W,WB,PEK,DXB,2026-07-10T23:25:00+00:00,2026-07-11T07:35:00+00:00,0,2026-07-10T23:25:00+00:00,2026-07-11T07:35:00+00:00
90,A6-ECH,A6-ECH,A6-ECH,False,False,UAE566,B77W,WB,DXB,BLR,2026-07-11T09:45:00+00:00,2026-07-11T13:50:00+00:00,0,2026-07-11T09:45:00+00:00,2026-07-11T13:50:00+00:00
91,A6-ECH,A6-ECH,A6-ECH,False,False,UAE567,B77W,WB,BLR,DXB,2026-07-11T15:30:00+00:00,2026-07-11T19:20:00+00:00,0,2026-07-11T15:30:00+00:00,2026-07-11T19:20:00+00:00
92,A6-ECH,A6-ECH,A6-ECH,False,False,UAE231,B77W,WB,DXB,IAD,2026-07-11T22:20:00+00:00,2026-07-12T12:40:00+00:00,0,2026-07-11T22:20:00+00:00,2026-07-12T12:40:00+00:00
93,A6-ECH,A6-ECH,A6-ECH,False,False,UAE232,B77W,WB,IAD,DXB,2026-07-12T14:55:00+00:00,2026-07-13T04:15:00+00:00,0,2026-07-12T14:55:00+00:00,2026-07-13T04:15:00+00:00
94,A6-ECI,A6-ECI,A6-ECI,False,False,UAE308,B77W,WB,DXB,PEK,2026-07-06T06:40:00+00:00,2026-07-06T14:20:00+00:00,0,2026-07-06T06:40:00+00:00,2026-07-06T14:20:00+00:00
95,A6-ECI,A6-ECI,A6-ECI,False,False,UAE309,B77W,WB,PEK,DXB,2026-07-06T23:25:00+00:00,2026-07-07T07:35:00+00:00,-60,2026-07-06T22:25:00+00:00,2026-07-07T06:35:00+00:00
96,A6-ECI,A6-ECI,A6-ECI,False,False,UAE566,B77W,WB,DXB,BLR,2026-07-07T09:45:00+00:00,2026-07-07T13:50:00+00:00,30,2026-07-07T10:15:00+00:00,2026-07-07T14:20:00+00:00
97,A6-ECI,A6-ECI,A6-ECI,False,False,UAE567,B77W,WB,BLR,DXB,2026-07-07T15:30:00+00:00,2026-07-07T19:20:00+00:00,30,2026-07-07T16:00:00+00:00,2026-07-07T19:50:00+00:00
98,A6-ECI,A6-ECI,A6-ECI,False,False,UAE582,B77W,WB,DXB,DAC,2026-07-07T22:00:00+00:00,2026-07-08T02:35:00+00:00,0,2026-07-07T22:00:00+00:00,2026-07-08T02:35:00+00:00
99,A6-ECI,A6-ECI,A6-ECI,False,False,UAE583,B77W,WB,DAC,DXB,2026-07-08T04:10:00+00:00,2026-07-08T09:00:00+00:00,0,2026-07-08T04:10:00+00:00,2026-07-08T09:00:00+00:00
100,A6-ECI,A6-ECI,A6-ECI,False,False,UAE721,B77W,WB,DXB,NBO,2026-07-08T11:55:00+00:00,2026-07-08T17:00:00+00:00,0,2026-07-08T11:55:00+00:00,2026-07-08T17:00:00+00:00
101,A6-ECI,A6-ECI,A6-ECI,False,False,UAE722,B77W,WB,NBO,DXB,2026-07-08T19:45:00+00:00,2026-07-09T00:50:00+00:00,0,2026-07-08T19:45:00+00:00,2026-07-09T00:50:00+00:00
102,A6-ECI,A6-ECI,A6-ECI,False,False,UAE797,B77W,WB,DXB,CKY,2026-07-09T03:50:00+00:00,2026-07-09T13:05:00+00:00,0,2026-07-09T03:50:00+00:00,2026-07-09T13:05:00+00:00
103,A6-ECI,A6-ECI,A6-ECI,False,False,UAE797,B77W,WB,CKY,DSS,2026-07-09T14:45:00+00:00,2026-07-09T16:10:00+00:00,0,2026-07-09T14:45:00+00:00,2026-07-09T16:10:00+00:00
104,A6-ECI,A6-ECI,A6-ECI,False,False,UAE797,B77W,WB,DSS,DXB,2026-07-09T17:55:00+00:00,2026-07-10T03:40:00+00:00,0,2026-07-09T17:55:00+00:00,2026-07-10T03:40:00+00:00
105,A6-ECI,A6-ECI,A6-ECI,False,False,UAE111,B77W,WB,DXB,BUD,2026-07-10T05:50:00+00:00,2026-07-10T11:55:00+00:00,-5,2026-07-10T05:45:00+00:00,2026-07-10T11:50:00+00:00
106,A6-ECI,A6-ECI,A6-ECI,False,False,UAE112,B77W,WB,BUD,DXB,2026-07-10T14:05:00+00:00,2026-07-10T19:40:00+00:00,-5,2026-07-10T14:00:00+00:00,2026-07-10T19:35:00+00:00
107,A6-ECI,A6-ECI,A6-ECI,False,False,UAE231,B77W,WB,DXB,IAD,2026-07-10T22:20:00+00:00,2026-07-11T12:40:00+00:00,-40,2026-07-10T21:40:00+00:00,2026-07-11T12:00:00+00:00
108,A6-ECI,A6-ECI,A6-ECI,False,False,UAE232,B77W,WB,IAD,DXB,2026-07-11T14:55:00+00:00,2026-07-12T04:15:00+00:00,-40,2026-07-11T14:15:00+00:00,2026-07-12T03:35:00+00:00
109,A6-ECI,A6-ECI,A6-ECI,False,False,UAE506,B77W,WB,DXB,BOM,2026-07-12T05:30:00+00:00,2026-07-12T08:45:00+00:00,-40,2026-07-12T04:50:00+00:00,2026-07-12T08:05:00+00:00
110,A6-ECI,A6-ECI,A6-ECI,False,False,UAE507,B77W,WB,BOM,DXB,2026-07-12T10:30:00+00:00,2026-07-12T13:35:00+00:00,-40,2026-07-12T09:50:00+00:00,2026-07-12T12:55:00+00:00
111,A6-ECI,A6-ECI,A6-ECI,False,False,UAE314,B77W,WB,DXB,SIN,2026-07-12T17:00:00+00:00,2026-07-13T00:35:00+00:00,55,2026-07-12T17:55:00+00:00,2026-07-13T01:30:00+00:00
112,A6-EGK,A6-ECJ,A6-EGK,True,False,UAE232,B77W,WB,IAD,DXB,2026-07-06T14:55:00+00:00,2026-07-07T04:15:00+00:00,0,2026-07-06T14:55:00+00:00,2026-07-07T04:15:00+00:00
113,A6-ECJ,A6-ECJ,A6-ECJ,False,False,UAE358,B77W,WB,DXB,CGK,2026-07-07T06:50:00+00:00,2026-07-07T15:25:00+00:00,0,2026-07-07T06:50:00+00:00,2026-07-07T15:25:00+00:00
114,A6-ECJ,A6-ECJ,A6-ECJ,False,False,UAE359,B77W,WB,CGK,DXB,2026-07-07T17:45:00+00:00,2026-07-08T01:30:00+00:00,0,2026-07-07T17:45:00+00:00,2026-07-08T01:30:00+00:00
115,A6-ECJ,A6-ECJ,A6-ECJ,False,False,UAE566,B77W,WB,DXB,BLR,2026-07-08T09:45:00+00:00,2026-07-08T13:50:00+00:00,50,2026-07-08T10:35:00+00:00,2026-07-08T14:40:00+00:00
