label,tf,day_idx,dow,time_utc,contact_capacity,contact_demand,contact_served
final,334,1,Tue,03:50,66,76,59
final,335,1,Tue,03:55,66,76,59
final,336,1,Tue,04:00,66,76,59
final,337,1,Tue,04:05,66,78,61
final,338,1,Tue,04:10,66,77,60
final,339,1,Tue,04:15,66,76,59
final,340,1,Tue,04:20,66,73,56
final,341,1,Tue,04:25,66,73,56
final,342,1,Tue,04:30,66,72,56
final,343,1,Tue,04:35,66,72,56
final,344,1,Tue,04:40,66,68,53
final,345,1,Tue,04:45,66,65,50
final,346,1,Tue,04:50,66,63,48
final,347,1,Tue,04:55,66,60,45
final,348,1,Tue,05:00,66,59,44
final,349,1,Tue,05:05,66,57,43
final,350,1,Tue,05:10,66,54,41
final,351,1,Tue,05:15,66,53,40
final,352,1,Tue,05:20,66,53,40
final,353,1,Tue,05:25,66,51,39
final,354,1,Tue,05:30,66,49,37
final,355,1,Tue,05:35,66,47,36
final,356,1,Tue,05:40,66,44,33
final,357,1,Tue,05:45,66,42,31
final,358,1,Tue,05:50,66,40,29
final,359,1,Tue,05:55,66,38,27
final,360,1,Tue,06:00,66,36,25
final,361,1,Tue,06:05,66,35,24
final,362,1,Tue,06:10,66,34,23
final,363,1,Tue,06:15,66,30,19
final,364,1,Tue,06:20,66,30,19
final,365,1,Tue,06:25,66,26,16
final,366,1,Tue,06:30,66,25,15
final,367,1,Tue,06:35,66,23,13
final,368,1,Tue,06:40,66,22,12
final,369,1,Tue,06:45,66,21,11
final,370,1,Tue,06:50,66,19,9
final,371,1,Tue,06:55,66,19,9
final,372,1,Tue,07:00,66,18,8
final,373,1,Tue,07:05,66,18,8
final,374,1,Tue,07:10,66,18,8
final,375,1,Tue,07:15,66,18,8
final,376,1,Tue,07:20,66,18,8
final,377,1,Tue,07:25,66,17,7
final,378,1,Tue,07:30,66,17,7
final,379,1,Tue,07:35,66,19,9
final,380,1,Tue,07:40,66,19,9
final,381,1,Tue,07:45,66,20,10
final,382,1,Tue,07:50,66,20,10
final,383,1,Tue,07:55,66,21,11
final,384,1,Tue,08:00,66,21,12
final,385,1,Tue,08:05,66,22,13
final,386,1,Tue,08:10,66,22,13
final,387,1,Tue,08:15,66,24,15
final,388,1,Tue,08:20,66,25,16
final,389,1,Tue,08:25,66,26,17
final,390,1,Tue,08:30,66,26,17
final,391,1,Tue,08:35,66,28,19
final,392,1,Tue,08:40,66,28,19
final,393,1,Tue,08:45,66,29,20
final,394,1,Tue,08:50,66,30,21
final,395,1,Tue,08:55,66,34,25
