origin,destination,pax,avg_revenue,inbound_ident,outbound_ident,inbound_arr,outbound_dep,cnx_time_min,indicator,revenue_captured
BLR,CDG,734.0,200.0,UAE565,UAE75,2026-07-11T08:45:00+00:00,2026-07-11T11:05:00+00:00,140.0,0.8833,129673.33
MAD,SIN,667.0,200.0,UAE144,UAE352,2026-07-07T03:15:00+00:00,2026-07-07T05:20:00+00:00,125.0,0.9708,129509.17
DFW,BOM,647.0,200.0,UAE222,UAE502,2026-07-11T08:00:00+00:00,2026-07-11T10:00:00+00:00,120.0,1.0,129400.0
VCE,DAC,647.0,200.0,UAE136,UAE582,2026-07-06T19:40:00+00:00,2026-07-06T21:40:00+00:00,120.0,1.0,129400.0
IST,KUL,646.0,200.0,UAE122,UAE346,2026-07-11T21:10:00+00:00,2026-07-11T23:10:00+00:00,120.0,1.0,129200.0
LHR,CCU,646.0,200.0,UAE2,UAE570,2026-07-11T20:05:00+00:00,2026-07-11T22:05:00+00:00,120.0,1.0,129200.0
KIX,ZRH,664.0,200.0,UAE317,UAE87,2026-07-07T01:35:00+00:00,2026-07-07T03:40:00+00:00,125.0,0.9708,128926.67
KHI,JFK,642.0,200.0,UAE603,UAE203,2026-07-07T20:50:00+00:00,2026-07-07T22:50:00+00:00,120.0,1.0,128400.0
DEL,IAD,641.0,200.0,UAE515,UAE231,2026-07-06T20:05:00+00:00,2026-07-06T22:05:00+00:00,120.0,1.0,128200.0
BOM,MIA,642.0,200.0,UAE509,UAE213,2026-07-07T19:54:00+00:00,2026-07-07T21:55:00+00:00,121.0,0.9942,127651.0
BKK,ZRH,656.0,200.0,UAE375,UAE85,2026-07-11T09:00:00+00:00,2026-07-11T11:05:00+00:00,125.0,0.9708,127373.33
DAC,IAD,668.0,200.0,UAE587,UAE231,2026-07-09T19:15:00+00:00,2026-07-09T21:25:00+00:00,130.0,0.9417,125806.67
MRU,HAM,707.0,200.0,UAE704,UAE59,2026-07-11T01:25:00+00:00,2026-07-11T03:45:00+00:00,140.0,0.8833,124903.33
